Un;Município;Tag Planta;Descrição Planta;Tag Comp;Descrição Comp;Atributo;Valor
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-EAT0042;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 42 - POSSE;RJB-P-151314;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-EAT0042;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 42 - POSSE;RJB-P-151314;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-EAT0042;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 42 - POSSE;RJB-P-151314;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-EAT0042;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 42 - POSSE;RJB-P-151314;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-EAT0042;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 42 - POSSE;RJB-P-151314;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-EAT0042;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 42 - POSSE;RJB-P-151314;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-EAT0042;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 42 - POSSE;RJB-P-151314;Valvula Redutora de Pressão;TIPO;
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07447;Valvula Redutora de Pressão;ACIONAMENTO;MANUAL
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07447;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07447;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;400
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07447;Valvula Redutora de Pressão;FABRICANTE;VALLOY
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07447;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07447;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07447;Valvula Redutora de Pressão;TIPO;
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07456;Valvula Redutora de Pressão;ACIONAMENTO;MANUAL
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07456;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07456;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;400
Águas do Rio - Bloco B;Mesquita;PL-RJB-EAT0746;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 746 - JK;RJB-07456;Valvula Redutora de Pressão;FABRICANTE;VALLOY
