ELEVATORIAS,PLANTA,TIPO,ENDEREÇO,BAIRRO,MUNICIPIO,CEP
ADOLFO BERGAMINI / ALTO MILITÂO,PL-RJB-EAT0093,EAT,"Estr. Gen. Mena Barreto, 821 - Novo Horizonte, Nilópolis - RJ, 26535-330",Novo Horizonte,NILÓPOLIS,26535-330
AMAURI GUIMARAES,PL-RJB-EAT0687,EAT,"R. Ângela Maria, 2 - Posse, Nova Iguaçu - RJ, 26089-175",Floresta,NOVA IGUAÇU,26031-200
ÂNGELA MARIA,PL-RJB-EAT0088,EAT,"R. Oliveiros Rodrigues Alves, 130 - Jardim da Posse, Nova Iguaçu - RJ, 26030-010",Jardim da Posse,NOVA IGUAÇU,26030-010
ANTONIO VALDIGEM,PL-RJB-EAT0736,EAT,"R. Antonio Valdigem, 51 - Queimados, RJ, 26385-300",Vila das porteiras,QUEIMADOS,26385-300
BEIRA LINHA,PL-RJB-EAT0688,EAT,Av Beira Linha 275 - Miguel Couto - Nova Iguaçu,Miguel Couto,NOVA IGUAÇU,26070-320
BELO HORIZONTE,PL-RJB-EAT0083,EAT,"R. Jequitia, 300 - Nova América, Nova Iguaçu - RJ, 26021-630",Nova América,NOVA IGUAÇU,26021-630
BOOSTER AUSTIN,PL-RJB-EAT0695,EAT,"R. Araicas, 27 - Austin, Nova Iguaçu - RJ, 26086-320",Largo dos peixes,QUEIMADOS,26086-320
BOOSTER BRASÍLIA,PL-RJB-EAT1005,EAT,"R. Prof. Venina Correa Torres, 23 - Centro, Nova Iguaçu - RJ, 26220-100",Centro,NOVA IGUAÇU,26220-100
BOOSTER CABUÇU ALTO,PL-RJB-EAT0689,EAT,"R. José Cabral, 448 - Cabuçu, Nova Iguaçu - RJ, 26290-048",Cabuçu,NOVA IGUAÇU,26290-048
BOOSTER ENGENHEIRO PEDREIRA,PL-RJB-EAT0122,EAT,"Cidade Jardim Marajoara, Japeri - RJ, 26420-243",Jardim Marajoara,JAPERI,26420-243
BOOSTER JK,PL-RJB-EAT0746,EAT,"R. da Cascata, 60 - Pres. Juscelino, Mesquita - RJ, 26557-700",Pres. Juscelino,MESQUITA,26557-700
BOOSTER POSSE,PL-RJB-EAT0042,EAT,"Estrada velha de Iguaçu, 812 - Miguel Couto , Belford Roxo - RJ",Miguel Couto,NOVA IGUAÇU,26145-420
BURITI,PL-RJB-EAT0684,EAT,"R. Freitas De Aguiar, 13 - Eucalipto, Japeri - RJ, 26453-325",Eucalipto,JAPERI,26453-325
CAIÇARA,PL-RJB-EAT0048,EAT,"Tv. Benjamim Chanbarelli, 30 - Caonze, Nova Iguaçu - RJ, 26250-120",Jardim da Posse,NOVA IGUAÇU,26021-072
CAIXA VELHA,PL-RJB-EAT0011,EAT,"R. Tab. Murilo Costa, 140 - Centro",Centro,NOVA IGUAÇU,26255-130
CABUÇU BAIXO,PL-RJB-EAT0847,EAT,"Av. Abílio Augusto Távora, 5157 - Vl Valverde, Nova Iguaçu - RJ, 26290-717",Vl Valverde,NOVA IGUAÇU,26290-717
CANADENSE,PL-RJB-EAT0056,EAT,"Rua Gen. Olímpio da Fonseca, 917 - Paiol de Pólvora, Nilópolis - RJ, 26545-470",Paiol de Pólvora,NILÓPOLIS,26545-470
CARAMUJOS,PL-RJB-EAT0835,EAT,"R. Cruz Alta, 2-8 - Parque do Ipanema, Queimados - RJ, 26320-330",Parque do Ipanema,QUEIMADOS,26320-330
CARLOS SAMPAIO,PL-RJB-EAT0822,EAT,"R. Lúcia Maria Piper, 50 - Adrianópolis, Nova Iguaçu - RJ, 26053-075",Adrianopolis,NOVA IGUAÇU,0
CAONZE,PL-RJB-EAT0821,EAT,"R. Ver. Hélcio Chambarelli - Caonze, Nova Iguaçu - RJ, 26250-170",Caonze,NOVA IGUAÇU,26250-170
CASA DE CUSTÓDIA COTRIN NETO,PL-RJB-EAT1016,EAT,"R. Assul, Jd Belo Horizonte, Japeri - RJ, 26480-400",Jd Belo Horizonte,JAPERI,26480-400
CEFET,PL-RJB-EAT0108,EAT,"R. Ademar Guimarães, 17 - Jardim Monte Castelo, Nova Iguaçu - RJ, 26041-600",Santa Rita,NOVA IGUAÇU,26041-271
CHATUBA,PL-RJB-EAT0741,EAT,"Rua Marques Canário, 667 - Chatuba - Mesquita - RJ, 26585-520",Chatuba,MESQUITA,26585-520
CITROPOLIS,PL-RJB-EAT0833,EAT,"R. Tóquio, 38 - Citrópolis, Japeri - RJ, 26425-340",Citrópolis,JAPERI,26425-340
DANON,PL-RJB-EAT0816,EAT,"R. Luís Ferreira, 3 - Pioneiro, Nova Iguaçu - RJ, 26294-300",Pioneiro,NOVA IGUAÇU,26271-350
DAS ROSAS,PL-RJB-EAT0836,EAT,"Rancho Fundo, Nova Iguaçu - RJ, 26051-370",Rancho Fundo,NOVA IGUAÇU,26051-370
DA SERRA,PL-RJB-EAT0848,EAT,"R. Soares Couto, 361 - Santa Terezinha, Mesquita - RJ, 26554-220",Santa Terezinha,MESQUITA,26554-220
DINAMARCO REIS,PL-RJB-EAT0069,EAT,"R. Dinamarco Réis, 48 - Joaquim De Almeida Flores, Nilópolis - RJ, 26545-230",Joaquim De Almeida Flores,NILÓPOLIS,26545-230
DIVINO,PL-RJB-EAT0834,EAT,"Av. Luigi Giobi, 26 - Vila do Tinguá, Queimados - RJ, 26383-340",Vila do Tinguá,QUEIMADOS,26383-340
DORALICE,PL-RJB-EAT0761,EAT,"Rua Doralice 235, Caixa DAgua - Queimados",Caixa DAgua,QUEIMADOS,0
EDNA,PL-RJB-EAT0062,EAT,"Av. Henrique Duque Estrada Meyer, 690-798 - Ponto Chic, Nova Iguaçu - RJ, 26041-061",Ponto Chic,NOVA IGUAÇU,26041-061
EDUARDO CELIDÔNIO,PL-RJB-EAT0693,EAT,"R. A, 1 - Vila Camarim, Queimados - RJ, 26383-522",Vila Camarim,QUEIMADOS,26383-522
EL SHADAY,PL-RJB-EAT0104,EAT,"R. Márcio Vieira de Oliveira, 372 - Austin, Nova Iguaçu - RJ, 26086-215",AUSTIN,NOVA IGUAÇU,26086-215
ENGENHARIA,PL-RJB-EAT0117,EAT,"Av. Henrique Duque Estrada Meyer, 395 - Alto da Posse, Nova Iguaçu - RJ, 26030-380",Posse,NOVA IGUAÇU,26041-061
ESPLANADA,PL-RJB-EAT0075,EAT,"Estr. da Fazenda, 2-264 - Jardim da Viga, Nova Iguaçu - RJ, 26013-470",Jardim da Viga,NOVA IGUAÇU,26013-470
EXPEDICIONARIOS,PL-RJB-EAT0066,EAT,"Estrada dos Expedicionário, 1264, Paiol, Nilópolis - RJ, 26540-020",Paiol,NILÓPOLIS,26540-020
ETE LAGOINHA,PL-RJB-ETE0040,ETE,"R. Dez, 47 - Lagoinha, Nova Iguaçu - RJ, 26296-069",Lagoinha,NOVA IGUAÇU,26296-069
FLORESTA MIRANDA,PL-RJB-EAT0065,EAT,"Rua Floresta Miranda, 257 - Centro, Nova Iguaçu - RJ, 26250-060",Centro,NOVA IGUAÇU,26250-060
